Date,Open,High,Low,Close,Adj Close,Volume
6/16/2014,161.369995,163.5,160.839996,163.5,163.5,0
6/17/2014,160.619995,163.100006,160.619995,162.550003,162.550003,0
6/18/2014,160.919998,163.399994,160.919998,163,163,0
6/19/2014,160.830002,163.199997,160.830002,163.199997,163.199997,0
6/20/2014,161.240005,161.240005,160.679993,163.100006,163.100006,0
6/23/2014,160.429993,162.699997,160.419998,160.649994,160.649994,0
6/24/2014,160.529999,162.649994,160.529999,160.25,160.25,0
6/25/2014,160.720001,162.600006,160.539993,162.600006,162.600006,0
6/26/2014,160.259995,162.699997,160.259995,162.550003,162.550003,0
6/27/2014,160.970001,163,160.839996,162.699997,162.699997,0
6/30/2014,160.460007,163.009995,160.399994,163.009995,163.009995,0
7/1/2014,160.25,162.800003,160.25,162.800003,162.800003,0
7/2/2014,160.669998,163.050003,160.669998,162.649994,162.649994,0
7/3/2014,160.779999,163,160.309998,163,163,0
7/4/2014,160.839996,160.839996,160.360001,162.5,162.5,0
7/7/2014,160.389999,162.5,160.389999,160.360001,160.360001,0
7/8/2014,160.380005,162.600006,160.380005,162.600006,162.600006,0
7/9/2014,160.059998,162.399994,160.059998,162.350006,162.350006,0
7/10/2014,160.080002,162.100006,160.080002,159.889999,159.889999,0
7/11/2014,160.259995,162.300003,160.240005,162,162,0
7/14/2014,160.240005,162.199997,160.110001,162.199997,162.199997,0
7/15/2014,160.199997,162.050003,159.699997,162.050003,162.050003,0
7/16/2014,160.220001,161.800003,159.729996,161.800003,161.800003,0
7/17/2014,159.820007,161.699997,159.610001,161.699997,161.699997,0
7/18/2014,159.699997,159.820007,159.699997,162.699997,162.699997,0
7/21/2014,159.729996,161.940002,159.729996,159.729996,159.729996,0
7/22/2014,159.880005,161.899994,159.880005,161.899994,161.899994,0
7/23/2014,162.100006,162.100006,159.770004,160.229996,160.229996,0
7/24/2014,159.839996,162,159.839996,162,162,0
7/25/2014,159.789993,161.800003,159.789993,162.050003,162.050003,0
7/28/2014,160.050003,161.949997,159.770004,161.600006,161.600006,0
7/29/2014,159.779999,161.949997,159.550003,161.800003,161.800003,0
7/30/2014,159.860001,161.850006,159.630005,161.850006,161.850006,0
7/31/2014,159.679993,161.899994,159.470001,161.699997,161.699997,0
8/1/2014,159.449997,161.800003,159.25,161.800003,161.800003,0
8/4/2014,158.850006,161.25,158.850006,161.25,161.25,0
8/5/2014,161,161,160.75,161,161,0
8/6/2014,158.940002,161.580002,158.940002,158.589996,158.589996,0
8/7/2014,158.490005,162.350006,158.490005,161.5,161.5,0
8/8/2014,160.399994,162.300003,160.399994,162.300003,162.300003,0
8/11/2014,160.550003,162.600006,160.399994,162.600006,162.600006,0
8/12/2014,160.539993,162.399994,159.809998,162.399994,162.399994,0
8/13/2014,159.520004,159.520004,159.429993,162,162,0
8/14/2014,159.369995,162.300003,159.369995,161.800003,161.800003,0
8/15/2014,160.160004,162.199997,160.080002,162.199997,162.199997,0
8/18/2014,160,160,160,159.910004,159.910004,0
8/19/2014,160.419998,160.419998,159.860001,160,160,0
8/20/2014,160.179993,160.179993,159.910004,159.860001,159.860001,0
8/21/2014,160.149994,160.149994,159.809998,159.910004,159.910004,0
8/22/2014,159.649994,159.690002,159.649994,159.809998,159.809998,0
8/25/2014,160.520004,160.520004,159.880005,159.690002,159.690002,0
8/26/2014,160.050003,160.050003,159.639999,159.979996,159.979996,0
8/27/2014,160,160,159.770004,159.639999,159.639999,0
8/28/2014,159.630005,159.660004,159.630005,159.630005,159.630005,0
8/29/2014,159.690002,160.160004,159.690002,159.690002,159.690002,0
9/1/2014,160.839996,160.839996,160.009995,160.789993,160.789993,0
9/2/2014,160.110001,160.160004,160.110001,160.110001,160.110001,0
9/3/2014,159.949997,160.160004,159.949997,159.910004,159.910004,0
9/4/2014,160.139999,160.210007,160.139999,160.160004,160.160004,0
9/5/2014,162.630005,162.630005,159.949997,162.520004,162.520004,0
9/8/2014,159.940002,162.199997,159.830002,159.949997,159.949997,0
9/9/2014,160.509995,162.149994,160.229996,162,162,0
9/10/2014,159.580002,162.699997,159.580002,159.580002,159.580002,0
9/11/2014,160.820007,162.699997,160.820007,160.880005,160.880005,0
9/12/2014,160.940002,162.800003,160.570007,162.600006,162.600006,0
9/15/2014,160.190002,163.100006,160.190002,160.100006,160.100006,0
9/16/2014,160.679993,162.800003,160.679993,163,163,0
9/17/2014,160.789993,163.350006,160.789993,160.779999,160.779999,0
9/18/2014,162.75,163.600006,161.550003,162.929993,162.929993,0
9/19/2014,161.130005,163.5,161.130005,161.039993,161.039993,0
9/22/2014,161.470001,163.399994,161.470001,161.910004,161.910004,0
9/23/2014,161.360001,163.199997,161.360001,161.399994,161.399994,0
9/24/2014,161.949997,162.600006,161.759995,161.979996,161.979996,0
9/25/2014,162.589996,162.589996,161.229996,162.570007,162.570007,0
9/26/2014,160.789993,163.899994,160.789993,160.770004,160.770004,0
9/29/2014,162.399994,163.850006,161.830002,162.350006,162.350006,0
9/30/2014,161.809998,163.800003,161.649994,161.789993,161.789993,0
10/1/2014,160.990005,163.800003,160.990005,160.990005,160.990005,0
10/2/2014,160.940002,164.100006,160.880005,160.990005,160.990005,0
10/3/2014,161.339996,164.25,161.339996,164.050003,164.050003,0
10/6/2014,163.570007,164.350006,162,163.589996,163.589996,0
10/7/2014,160.869995,164.470001,160.869995,160.630005,160.630005,0
10/8/2014,161.270004,164.5,161.270004,161.179993,161.179993,0
10/9/2014,161.369995,164.830002,161.369995,164.399994,164.399994,0
10/10/2014,163.410004,163.410004,162.309998,163.380005,163.380005,0
10/13/2014,162.660004,164.830002,161.839996,162.800003,162.800003,0
10/14/2014,161.440002,164.080002,161.440002,161.130005,161.130005,0
10/15/2014,162,162,161.710007,161.839996,161.839996,0
10/16/2014,159.550003,164.449997,159.330002,159.490005,159.490005,0
10/17/2014,161.580002,165.25,161.509995,161.589996,161.589996,0
10/20/2014,162.960007,165.199997,162.710007,165.199997,165.199997,0
10/21/2014,162.479996,165.149994,162.479996,165.149994,165.149994,0
10/22/2014,163.639999,163.639999,163.380005,163.619995,163.619995,0
10/23/2014,164.220001,165,163.399994,165,165,0
10/24/2014,163.600006,164.550003,162.190002,165,165,0
10/27/2014,161.699997,162.240005,161.699997,161.960007,161.960007,0
10/28/2014,161.899994,163.100006,161.869995,162,162,0
10/29/2014,162.679993,162.759995,162.649994,162.639999,162.639999,0
10/30/2014,164.160004,164.160004,163.419998,164.009995,164.009995,0
10/31/2014,163.039993,163.199997,163.039993,163.419998,163.419998,0
11/3/2014,164.600006,164.600006,164.229996,163.910004,163.910004,0
11/4/2014,163.229996,163.880005,163.229996,165.649994,165.649994,0
11/5/2014,163.309998,164.110001,163.309998,163.419998,163.419998,0
11/6/2014,164.029999,167.690002,163.570007,163.990005,163.990005,0
11/7/2014,169.550003,169.550003,164.520004,169.559998,169.559998,0
11/10/2014,163.679993,164.809998,163.490005,163.660004,163.660004,0
11/11/2014,165.509995,166.320007,165.509995,165.630005,165.630005,0
